,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,n_neighbors,weights,max_depth,max_features,min_samples_split,n_estimators,learning_rate,min_samples_leaf,loss,alpha,l1_ratio,max_iter
3478,ExtraTreesRegressor,0.780096206,0.825163556,0.863984219,0.034530813,NAN,NAN,NAN,,,,3,,,,,,,,
3477,ExtraTreesRegressor,0.784438628,0.809176045,0.848524659,0.028129109,NAN,NAN,NAN,,,,2,,,,,,,,
3235,GradientBoostingRegressor,0.746324975,0.806997456,0.849568382,0.044049593,NAN,NAN,NAN,,,6,3,,100,0.1,3,,,,
3231,RandomForestRegressor,0.754788223,0.805758203,0.881480317,0.054602947,NAN,NAN,NAN,,,,,6,100,,,,,,
3227,RandomForestRegressor,0.736458573,0.803882278,0.876727436,0.057392697,NAN,NAN,NAN,,,,,3,50,,,,,,
3230,RandomForestRegressor,0.733026621,0.802727443,0.871764772,0.056641556,NAN,NAN,NAN,,,,,6,50,,,,,,
3233,RandomForestRegressor,0.753036283,0.801742668,0.873902528,0.052055812,NAN,NAN,NAN,,,,,9,50,,,,,,
3229,RandomForestRegressor,0.753366513,0.801398107,0.866355571,0.047654979,NAN,NAN,NAN,,,,,6,10,,,,,,
3234,RandomForestRegressor,0.741872146,0.801081142,0.876743812,0.056276899,NAN,NAN,NAN,,,,,9,100,,,,,,
3228,RandomForestRegressor,0.746779363,0.800669033,0.872897962,0.053095647,NAN,NAN,NAN,,,,,3,100,,,,,,
3226,RandomForestRegressor,0.723235638,0.799369286,0.872040832,0.060798772,NAN,NAN,NAN,,,,,3,10,,,,,,
3260,AdaBoostRegressor,0.736704037,0.786990066,0.860069587,0.052879878,NAN,NAN,NAN,,,,,,50,1,,linear,,,
3265,AdaBoostRegressor,0.722755375,0.786696961,0.871377503,0.062421751,NAN,NAN,NAN,,,,,,100,1,,exponential,,,
3264,AdaBoostRegressor,0.7439856,0.786626623,0.854468695,0.048497067,NAN,NAN,NAN,,,,,,50,1,,exponential,,,
3261,AdaBoostRegressor,0.720263386,0.784078378,0.870666486,0.06347826,NAN,NAN,NAN,,,,,,100,1,,linear,,,
3255,AdaBoostRegressor,0.740532612,0.783575724,0.865574815,0.058006117,NAN,NAN,NAN,,,,,,100,0.3,,linear,,,
3232,RandomForestRegressor,0.690521036,0.78259323,0.889822544,0.082067356,NAN,NAN,NAN,,,,,9,10,,,,,,
3259,AdaBoostRegressor,0.726761618,0.778961904,0.857015938,0.056230829,NAN,NAN,NAN,,,,,,100,0.3,,exponential,,,
3249,AdaBoostRegressor,0.734025422,0.777536404,0.855567104,0.055298001,NAN,NAN,NAN,,,,,,100,0.1,,linear,,,
3258,AdaBoostRegressor,0.738046317,0.776137152,0.84981664,0.052109279,NAN,NAN,NAN,,,,,,50,0.3,,exponential,,,
3253,AdaBoostRegressor,0.716071686,0.771933576,0.851879065,0.057999574,NAN,NAN,NAN,,,,,,100,0.1,,exponential,,,
3254,AdaBoostRegressor,0.715537942,0.771156588,0.850177138,0.057403049,NAN,NAN,NAN,,,,,,50,0.3,,linear,,,
3251,AdaBoostRegressor,0.721518981,0.765082016,0.844262971,0.056083265,NAN,NAN,NAN,,,,,,100,0.1,,square,,,
3256,AdaBoostRegressor,0.71507806,0.764352131,0.849385089,0.060380008,NAN,NAN,NAN,,,,,,50,0.3,,square,,,
3243,AdaBoostRegressor,0.710513614,0.763856895,0.835339501,0.052549354,NAN,NAN,NAN,,,,,,100,0.05,,linear,,,
3248,AdaBoostRegressor,0.701710229,0.760299252,0.835299263,0.055758395,NAN,NAN,NAN,,,,,,50,0.1,,linear,,,
3247,AdaBoostRegressor,0.712890629,0.759751385,0.830001654,0.050590184,NAN,NAN,NAN,,,,,,100,0.05,,exponential,,,
3245,AdaBoostRegressor,0.717098335,0.756295069,0.821029785,0.046112746,NAN,NAN,NAN,,,,,,100,0.05,,square,,,
3252,AdaBoostRegressor,0.716092802,0.755791234,0.815073783,0.04271582,NAN,NAN,NAN,,,,,,50,0.1,,exponential,,,
3476,ExtraTreesRegressor,0.707858445,0.754375732,0.793555505,0.035368308,NAN,NAN,NAN,,,,1,,,,,,,,
3250,AdaBoostRegressor,0.706978419,0.753754368,0.83772557,0.059505291,NAN,NAN,NAN,,,,,,50,0.1,,square,,,
3242,AdaBoostRegressor,0.705317917,0.752758068,0.81343573,0.045120499,NAN,NAN,NAN,,,,,,50,0.05,,linear,,,
3240,AdaBoostRegressor,0.710912051,0.748351476,0.814388413,0.046834479,NAN,NAN,NAN,,,,,,50,0.01,,exponential,,,
2106,DecisionTreeRegressor,0.681935674,0.747939512,0.814553174,0.054142585,NAN,NAN,NAN,,,626,,,,,,,,,
1974,DecisionTreeRegressor,0.686631591,0.745911415,0.786981335,0.042943515,NAN,NAN,NAN,,,582,,,,,,,,,
1527,DecisionTreeRegressor,0.688146473,0.745075674,0.803734313,0.047204381,NAN,NAN,NAN,,,433,,,,,,,,,
3244,AdaBoostRegressor,0.700886297,0.743883954,0.795927712,0.039324222,NAN,NAN,NAN,,,,,,50,0.05,,square,,,
345,DecisionTreeRegressor,0.699929253,0.743681129,0.78197241,0.033715807,NAN,NAN,NAN,,,39,,,,,,,,,
3237,AdaBoostRegressor,0.69374566,0.741323486,0.80653861,0.04770652,NAN,NAN,NAN,,,,,,100,0.01,,linear,,,
1251,DecisionTreeRegressor,0.692363548,0.741136503,0.786650504,0.038561406,NAN,NAN,NAN,,,341,,,,,,,,,
3241,AdaBoostRegressor,0.706100512,0.740624447,0.802119543,0.043592784,NAN,NAN,NAN,,,,,,100,0.01,,exponential,,,
2457,DecisionTreeRegressor,0.689983486,0.740338743,0.774481773,0.036351226,NAN,NAN,NAN,,,743,,,,,,,,,
600,DecisionTreeRegressor,0.696501179,0.739881956,0.774681789,0.03248873,NAN,NAN,NAN,,,124,,,,,,,,,
3246,AdaBoostRegressor,0.710365567,0.739809406,0.797952327,0.041114378,NAN,NAN,NAN,,,,,,50,0.05,,exponential,,,
2565,DecisionTreeRegressor,0.679593701,0.739116844,0.784639919,0.044012714,NAN,NAN,NAN,,,779,,,,,,,,,
786,DecisionTreeRegressor,0.686253959,0.738939621,0.779903053,0.039120295,NAN,NAN,NAN,,,186,,,,,,,,,
630,DecisionTreeRegressor,0.679295513,0.738729341,0.779168398,0.04292823,NAN,NAN,NAN,,,134,,,,,,,,,
1824,DecisionTreeRegressor,0.696725364,0.73859974,0.769279468,0.030659578,NAN,NAN,NAN,,,532,,,,,,,,,
2901,DecisionTreeRegressor,0.706296765,0.738070963,0.774240048,0.027911273,NAN,NAN,NAN,,,891,,,,,,,,,
1212,DecisionTreeRegressor,0.679642673,0.737780826,0.781139169,0.042733412,NAN,NAN,NAN,,,328,,,,,,,,,
1881,DecisionTreeRegressor,0.691495103,0.737558776,0.763512189,0.03265917,NAN,NAN,NAN,,,551,,,,,,,,,
2250,DecisionTreeRegressor,0.676900214,0.737511782,0.790998713,0.046852159,NAN,NAN,NAN,,,674,,,,,,,,,
3236,AdaBoostRegressor,0.689559027,0.737406368,0.784817179,0.038890203,NAN,NAN,NAN,,,,,,50,0.01,,linear,,,
1899,DecisionTreeRegressor,0.698851859,0.736843116,0.774386979,0.030838706,NAN,NAN,NAN,,,557,,,,,,,,,
2448,DecisionTreeRegressor,0.68915966,0.736818494,0.779813947,0.03715607,NAN,NAN,NAN,,,740,,,,,,,,,
3238,AdaBoostRegressor,0.674924874,0.736135957,0.791862223,0.047896752,NAN,NAN,NAN,,,,,,50,0.01,,square,,,
1515,DecisionTreeRegressor,0.697458863,0.735970073,0.773901633,0.031210321,NAN,NAN,NAN,,,429,,,,,,,,,
276,DecisionTreeRegressor,0.692651942,0.735697959,0.768304668,0.03175498,NAN,NAN,NAN,,,16,,,,,,,,,
1233,DecisionTreeRegressor,0.695554378,0.735563067,0.767142807,0.029827405,NAN,NAN,NAN,,,335,,,,,,,,,
1428,DecisionTreeRegressor,0.676998159,0.73556044,0.765771135,0.041416741,NAN,NAN,NAN,,,400,,,,,,,,,
2055,DecisionTreeRegressor,0.679729735,0.735533376,0.766360755,0.039531368,NAN,NAN,NAN,,,609,,,,,,,,,
960,DecisionTreeRegressor,0.68122394,0.735364666,0.773175509,0.039274857,NAN,NAN,NAN,,,244,,,,,,,,,
252,DecisionTreeRegressor,0.68809686,0.734962465,0.760311608,0.033175906,NAN,NAN,NAN,,,8,,,,,,,,,
312,DecisionTreeRegressor,0.674489679,0.73495902,0.784853206,0.045672037,NAN,NAN,NAN,,,28,,,,,,,,,
2022,DecisionTreeRegressor,0.660850298,0.734484907,0.787102672,0.053642001,NAN,NAN,NAN,,,598,,,,,,,,,
1305,DecisionTreeRegressor,0.694581458,0.734224163,0.77952198,0.034906621,NAN,NAN,NAN,,,359,,,,,,,,,
1257,DecisionTreeRegressor,0.673548319,0.734193304,0.771072026,0.043215312,NAN,NAN,NAN,,,343,,,,,,,,,
441,DecisionTreeRegressor,0.673555937,0.734037115,0.782873903,0.045382069,NAN,NAN,NAN,,,71,,,,,,,,,
396,DecisionTreeRegressor,0.6710899,0.733624935,0.77492067,0.044970643,NAN,NAN,NAN,,,56,,,,,,,,,
966,DecisionTreeRegressor,0.668423621,0.733571252,0.786864739,0.049074536,NAN,NAN,NAN,,,246,,,,,,,,,
3072,DecisionTreeRegressor,0.68071245,0.733457526,0.771939393,0.038584696,NAN,NAN,NAN,,,948,,,,,,,,,
1722,DecisionTreeRegressor,0.683904368,0.73317912,0.784471185,0.041081004,NAN,NAN,NAN,,,498,,,,,,,,,
387,DecisionTreeRegressor,0.643117905,0.732979079,0.797811572,0.065586375,NAN,NAN,NAN,,,53,,,,,,,,,
2760,DecisionTreeRegressor,0.681281619,0.732917453,0.770573409,0.037769774,NAN,NAN,NAN,,,844,,,,,,,,,
1134,DecisionTreeRegressor,0.674651833,0.73288291,0.782483351,0.044443035,NAN,NAN,NAN,,,302,,,,,,,,,
2916,DecisionTreeRegressor,0.677710981,0.732864071,0.764141623,0.039116024,NAN,NAN,NAN,,,896,,,,,,,,,
3156,DecisionTreeRegressor,0.678464069,0.732744441,0.779073604,0.041456692,NAN,NAN,NAN,,,976,,,,,,,,,
2625,DecisionTreeRegressor,0.685291921,0.73262832,0.756735479,0.033473807,NAN,NAN,NAN,,,799,,,,,,,,,
